names,energy,protein,satuated_fat,monounsaturated_fat,polyunsatuated_fat,carbonhydrate,sugar,fiber,sodium
"FAT,MUTTON TALLOW",902,0.0,47.3,40.6,7.8,0.0,0.0,0.0,0.0
LARD,902,0.0,39.2,45.1,11.2,0.0,0.0,0.0,0.0
"FAT,BEEF TALLOW",902,0.0,49.8,41.8,4.0,0.0,0.0,0.0,0.0
"OIL,BELUGA,WHALE (ALASKA NATIVE)",900,0.0,14.49,54.19,10.8,0.0,0.0,0.0,0.0
"SHORTENING,HOUSEHOLD,LARD&VEG OIL",900,0.0,40.3,44.4,10.9,0.0,0.0,0.0,0.0
"FAT,TURKEY",900,0.0,29.4,42.9,23.1,0.0,0.0,0.0,0.0
"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING",900,0.0,12.948,27.576,54.677,0.0,0.0,0.0,0.0
"OIL,INDUSTRIAL,SOY,LO LINOLENIC",900,0.0,15.084,21.438,58.932,0.0,0.0,0.0,0.0
"OIL,INDUSTRIAL,CANOLA,HI OLEIC",900,0.0,6.787,72.734,15.785,0.0,0.0,0.0,0.0
"FAT,CHICKEN",900,0.0,29.8,44.7,20.9,0.0,0.0,0.0,0.0
"PORK,BACON,RENDERED FAT,CKD",898,0.07,31.991,41.435,10.535,0.0,0.0,0.0,27.0
"ANIMAL FAT,BACON GREASE",897,0.0,39.004,44.874,11.144,0.0,0.0,0.0,150.0
"OIL,SPOTTED SEAL (ALASKA NATIVE)",894,0.0,14.74,54.52,18.06,0.0,0.0,0.0,0.0
"OIL,COCNT",892,0.0,82.475,6.332,1.702,0.0,0.0,0.0,0.0
"MEAT DRIPPINGS (LARD,BF TALLOW,MUTTON TALLOW)",889,0.0,44.79,41.77,7.56,0.0,0.0,0.0,545.0
"OIL,CORN,PEANUT,AND OLIVE",884,0.0,14.367,48.033,33.033,0.0,0.0,0.0,0.0
"OIL,SUNFLOWER,HI OLEIC (70% & OVER)",884,0.0,9.859,83.689,3.798,0.0,0.0,0.0,0.0
"OIL,CANOLA",884,0.0,7.365,63.276,28.142,0.0,0.0,0.0,0.0
"OIL,CTTNSD,SALAD OR COOKING",884,0.0,25.9,17.8,51.9,0.0,0.0,0.0,0.0
"OIL,UCUHUBA BUTTER",884,0.0,85.2,6.7,2.9,0.0,0.0,0.0,0.0
"SHORTENING,SPL PURPOSE FOR BAKING,SOYBN (HYDR) PALM&CTTNSD",884,0.0,28.843,29.583,37.174,0.0,0.0,0.0,0.0
"SHORTENING,SPL PURPOSE FOR CAKES&FROSTINGS,SOYBN (HYDR)",884,0.0,20.001,36.555,37.991,0.0,0.0,0.0,0.0
"SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884,0.0,21.1,73.7,0.4,0.0,0.0,0.0,0.0
"OIL,OAT",884,0.0,19.62,35.11,40.87,0.0,0.0,0.0,0.0
"OIL,COCOA BUTTER",884,0.0,59.7,32.9,3.0,0.0,0.0,0.0,0.0
"SHORTENING,VEG,HOUSEHOLD,COMP",884,0.0,24.98,41.186,28.097,0.0,0.0,0.0,4.0
"OIL,SUNFLOWER,LINOLEIC (LESS THAN 60%)",884,0.0,10.1,45.4,40.1,0.0,0.0,0.0,0.0
"OIL,INDUSTRIAL,MID-OLEIC,SUNFLOWER",884,0.0,9.009,57.334,28.962,0.0,0.0,0.0,0.0
"OIL,INDUSTRIAL,CANOLA W/ ANTIFOAMING AGENT",884,0.0,7.615,62.093,25.588,0.0,0.0,0.0,0.0
"OIL,INDUSTRIAL,CANOLA FOR SALADS,WOKS & LT FRYING",884,0.0,7.758,61.15,26.397,0.0,0.0,0.0,0.0
"OIL,INDUS,CANOLA (PART HYDROG) OIL FOR DEEP FAT FRYING",884,0.0,10.117,71.075,14.038,0.0,0.0,0.0,0.0
"OIL,NUTMEG BUTTER",884,0.0,90.0,4.8,0.0,0.0,0.0,0.0,0.0
"OIL,CORN AND CANOLA",884,0.0,8.026,58.537,29.113,0.0,0.0,0.0,0.0
"SHORTENING INDUSTRIAL,SOYBN (HYDR)&CTTNSD",884,0.0,25.6,58.0,12.0,0.0,0.0,0.0,0.0
"SHORTENING CONFECTIONERY,COCNT (HYDR)&OR PALM KERNEL (HYDR)",884,0.0,91.3,2.2,1.0,0.0,0.0,0.0,0.0
"OIL,SAFFLOWER,SALAD OR COOKING,HI OLEIC",884,0.0,7.541,75.221,12.82,0.0,0.0,0.0,0.0
"OIL,POPPYSEED",884,0.0,13.5,19.7,62.4,0.0,0.0,0.0,0.0
"OIL,TOMATOSEED",884,0.0,19.7,22.8,53.1,0.0,0.0,0.0,0.0
"OIL,TEASEED",884,0.0,21.1,51.5,23.0,0.0,0.0,0.0,0.0
"OIL,GRAPESEED",884,0.0,9.6,16.1,69.9,0.0,0.0,0.0,0.0
"OIL,WALNUT",884,0.0,9.1,22.8,63.3,0.0,0.0,0.0,0.0
"OIL,ALMOND",884,0.0,8.2,69.9,17.4,0.0,0.0,0.0,0.0
"OIL,APRICOT KERNEL",884,0.0,6.3,60.0,29.3,0.0,0.0,0.0,0.0
"OIL,HAZELNUT",884,0.0,7.4,78.0,10.2,0.0,0.0,0.0,0.0
"OIL,BABASSU",884,0.0,81.2,11.4,1.6,0.0,0.0,0.0,0.0
"OIL,SHEANUT",884,0.0,46.6,44.0,5.2,0.0,0.0,0.0,0.0
"OIL,CUPU ASSU",884,0.0,53.2,38.7,3.8,0.0,0.0,0.0,0.0
"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED) & CTTNSD",884,0.0,18.0,29.5,48.1,0.0,0.0,0.0,0.0
"OIL,SUNFLOWER,LINOLEIC,(PARTIALLY HYDROGENATED)",884,0.0,13.0,46.2,36.4,0.0,0.0,0.0,0.0
"SHORTENING BREAD,SOYBN (HYDR)&CTTNSD",884,0.0,22.0,33.0,40.6,0.0,0.0,0.0,0.0
"OIL,INDUSTRIAL,SOY (PART HYDR),FOR POPCORN & FLAVORING VEG",884,0.0,17.683,41.929,35.638,0.0,0.0,0.0,0.0
"SHORTENING CAKE MIX,SOYBN (HYDR)&CTTNSD (HYDR)",884,0.0,27.2,54.2,14.1,0.0,0.0,0.0,0.0
"OIL,INDUSTRIAL,COCNT",884,0.0,86.002,5.935,1.657,0.0,0.0,0.0,0.0
"OIL,INDUSTRIAL,SOY,REFINED,FOR WOKS & LT FRYING",884,0.0,15.34,21.701,58.208,0.0,0.0,0.0,0.0
"SHORTENING,INDUS,SOY (PART HYDROG),POURABLE LIQ FRY",884,0.0,18.358,38.87,38.009,0.0,0.0,0.0,0.0
"OIL,INDUSTRIAL,SOY,FULLY HYDR",884,0.0,93.966,1.341,0.383,0.0,0.0,0.0,0.0
"OIL,SESAME,SALAD OR COOKING",884,0.0,14.2,39.7,41.7,0.0,0.0,0.0,0.0
"USDA CMDTY FD,OIL,VEG,SOYBN,REFINED",884,0.0,15.251,22.727,57.333,0.0,0.0,0.0,0.0
